jiangId,degeId,tname,twName,cnName,enName,bo,wylie,sname,note,,,,,,,,,,,
J1,1,འདུལ་བ་གཞི། ,根本毗奈耶（一）,根本毗奈耶（一）,Monastic Discipline,འདུལ་བའི་གཞི། , 'dul ba'i gzhi/,Vinayavastu ,,,,,,,,,,,,
J2,2,སོ་སོར་ཐར་པའི་མདོ།,別解脫經,别解脱经,Sūtra of Individual Emancipation,སོ་སོར་ཐར་པའི་མདོ། ,so sor thar pa'i mdo/,prātimokṣasūtra,,,,,,,,,,,,
J3,3,འདུལ་བ་རྣམ་པར་འབྱེད་པ།,分別毘奈耶（一）,分别毘奈耶（一）,Detailed Explanations of Discipline,འདུལ་བ་རྣམ་འབྱེད།,'dul ba rnam 'byed/,vinayavibhaṅga,,,,,,,,,,,,
J4,4,དགེ་སློང་མའི་སོ་སོར་ཐར་པའི་མདོ།,比丘尼別解脫經,比丘尼别解脱经,Sūtra of Individual Emancipation of Nuns,དགེ་སློང་མའི་སོ་སོར་ཐར་པའི་མདོ། ,dge slong ma'i so sor thar pa'i mdo/,bhikṣunīprātimokṣasūtra,,,,,,,,,,,,
J5,5,དགེ་སློང་མའི་འདུལ་བ་རྣམ་པར་འབྱེད་པ།,比丘尼毘奈耶差別,比丘尼毘奈耶差别,Detailed Explanations on Nuns’ Discipline,དགེ་སློང་མའི་འདུལ་བ་རྣམ་པར་འབྱེད་པ། ,dge slong ma'i 'dul ba rnam par 'byed pa/,bhikṣunīvinayavibhaṅga,,,,,,,,,,,,
J6,6,འདུལ་བ་ཕྲན་ཚེགས་ཀྱི་གཞི། ,毘奈耶雜事（一）,毘奈耶杂事（一）,Finer Points of Discipline,འདུལ་བ་ཕྲན་ཚེགས་ཀྱི་གཞི།, 'dul ba phran tshegs kyi gzhi/,"vinayakṣudrakavastu
",,,,,,,,,,,,
J7,7a,འདུལ་བ་གཞུང་བླ་མ།,律上分（一）,律上分（一）,Preeminent Account of Discipline,འདུལ་བ་གཞུང་བླ་མ།,dul ba gzhung bla ma/,vinayottaragrantha,,,,,,,,,,,,
J8a,7b,འདུལ་བ་གཞུང་དམ་པ། ,律上分（二）,律上分（二）,Preeminent Account of Discipline,འདུལ་བ་གཞུང་དམ་པ།, 'dul ba gzhung dam pa/,vinayottaragrantha,,,,,,,,,,,,
J9,8,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ,般若十萬頌,般若十万颂,The Perfection of Wisdom in One Hundred Thousand Lines,ཤེར་ཕྱིན་སྟོང་ཕྲག་བརྒྱ་པ། (འབུམ།) ,sher phyin stong phrag brgya pa/ \('bum/\),śatasāhasrikāprajñāpāramitā,,,,,,,,,,,,
J10,9,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ། ,般若二萬五千頌,般若二万五千颂,The Perfection of Wisdom in Twenty-five Thousand Lines,ཤེར་ཕྱིན་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ། (ཉི་ཁྲི།), sher phyin stong phrag nyi shu lnga pa/ \(nyi khri/\),pañcaviṃśatisāhasrikā­prajñāpāramitā,,,,,,,,,,,,
