部,函,經號,headN,藏文經名,中文經名
第1部 འདུལ་བ།  Vinaya  律部,第1函 ཀ,J1,1,འདུལ་བ་གཞི། ༼ཀ༽,根本毗奈耶（一）
,,,2,རབ་ཏུ་འབྱུང་བའི་གཞི་འཆད་པ།,說出家事
,,,3,ཤཱ་རིའི་བུའི་སྡེ་ཚན།,舍利弗分
,,,3,མུ་སྟེགས་ཅན་གྱི་སྡེ་ཚན།,外道分
,,,3,དགེ་ཚུལ་གཉིས་ཀྱི་སྡེ་ཚན།,二沙彌分
,,,3,བྱ་རོག་སྐྲོད་ཀྱི་སྡེ་ཚན།,驅烏分
,,,3,དགྲ་བཅོམ་བསད་པའི་སྡེ་ཚན།,殺阿羅漢分
,,,3,ལག་རྡུམ་གྱི་སྡེ་ཚན།,截手分
,,,2,གསོ་སྦྱོང་གི་གཞི་འཆད་པ།,說布薩事
,,,3,མུ་སྟེགས་ཅན་གྱི་སྡེ་ཚན།,外道分
,,,3,ཀ་བི་ནའི་སྡེ་ཚན།,劫賓那分
,,,3,གནས་ཀྱི་སྡེ་ཚན།,住處分
,,,3,རྒྱལ་པོའི་སྡེ་ཚན།,大王分
,,,3,སྦྱར་བ་མང་པོའི་སྡེ་ཚན།,多相合分
,,,2,དགག་དབྱེའི་གཞི་འཆད་པ།,說自恣事
,,,3,དགག་དབྱེའི་སྡེ་ཚན།,自恣分
,,,3,ཆོས་མིན་གྱི་སྡེ་ཚན།,非法分
,,,3,དགེ་སློང་གི་སྡེ་ཚན།,比丘分
,,,3,ཟློས་པའི་སྡེ་ཚན།,複說分
,,,3,དབྱར་གྱི་སྡེ་ཚན།,結夏分
,,,2,དབྱར་གནས་ཀྱི་གཞི་འཆད་པ།,說結夏事
,,,3,དབྱར་གནས་ཀྱི་སྡེ་ཚན།,結夏分
,,,3,ཟས་ཀྱི་སྡེ་ཚན།,飲食分
,,,3,དབྱར་རལ་བའི་སྡེ་ཚན།,破夏分
